Data;Horário;Paciente;Médico
06/04/2024;09:35;560.950.885-18;236.346
07/04/2024;16:30;466.499.516-41;876.103
06/05/2024;14:30;379.168.594-27;210.147
08/05/2024;09:00;714.228.852-32;190.866
06/06/2024;11:15;220.047.328-14;210.147
06/06/2024;09:35;010.071.480-39;87.784
08/06/2024;14:20;466.499.516-41;876.103
09/06/2024;11:10;714.228.852-32;190.866
07/07/2024;14:15;458.586.522-55;762.971
07/07/2024;10:00;560.950.885-18;236.346
07/07/2024;07:50;010.071.480-39;87.784
07/08/2024;09:50;379.168.594-27;210.147
08/08/2024;07:15;220.047.328-14;210.147
09/08/2024;10:00;458.586.522-55;762.971
09/08/2024;13:00;010.071.480-39;87.784
10/08/2024;09:45;560.950.885-18;236.346
10/09/2024;16:00;379.168.594-27;210.147
10/10/2024;08:15;714.228.852-32;190.866
10/10/2024;08:25;466.499.516-41;876.103
10/11/2024;10:40;220.047.328-14;210.147
10/11/2024;15:15;458.586.522-55;762.971
06/05/2025;09:00;501.853.051-05;791.359
06/05/2025;09:00;306.579.586-89;762.971
06/05/2025;08:20;171.269.323-91;876.103
06/05/2025;15:20;358.667.290-08;236.346
06/05/2025;16:00;998.814.833-01;762.971
06/05/2025;15:30;899.097.279-51;87.784
06/05/2025;11:00;706.649.129-74;791.359
06/05/2025;10:35;306.610.049-96;488.674
06/05/2025;10:50;776.460.435-67;87.784
06/05/2025;15:00;831.302.042-37;450.065
06/05/2025;10:15;822.136.318-91;210.147
06/05/2025;07:30;796.559.613-03;915.239
06/05/2025;09:30;273.164.745-05;450.065
06/05/2025;07:40;354.830.477-02;488.674
06/05/2025;13:45;447.410.997-09;876.103
07/05/2025;13:00;253.096.942-69;915.239
07/05/2025;13:00;407.186.092-80;450.065
07/05/2025;13:50;600.828.500-03;488.674
07/05/2025;14:35;101.038.382-52;190.866
07/05/2025;14:30;112.329.996-01;915.239
07/05/2025;15:00;241.428.830-20;791.359
07/05/2025;11:15;532.459.706-68;236.346
07/05/2025;08:00;306.579.586-89;762.971
07/05/2025;10:20;171.269.323-91;876.103
07/05/2025;16:00;998.814.833-01;762.971
07/05/2025;07:45;706.649.129-74;791.359
07/05/2025;10:40;776.460.435-67;87.784
07/05/2025;11:10;831.302.042-37;450.065
07/05/2025;16:50;796.559.613-03;915.239
07/05/2025;14:35;273.164.745-05;450.065
07/05/2025;09:40;354.830.477-02;488.674
08/05/2025;11:30;753.398.935-02;190.866
08/05/2025;15:20;501.853.051-05;791.359
08/05/2025;13:00;253.096.942-69;915.239
08/05/2025;08:25;358.667.290-08;236.346
08/05/2025;09:00;407.186.092-80;450.065
08/05/2025;13:15;600.828.500-03;488.674
08/05/2025;13:15;899.097.279-51;87.784
08/05/2025;14:30;101.038.382-52;190.866
08/05/2025;16:00;306.610.049-96;488.674
08/05/2025;14:00;822.136.318-91;210.147
08/05/2025;07:00;447.410.997-09;876.103
08/05/2025;09:25;273.164.745-05;450.065
09/05/2025;09:00;753.398.935-02;190.866
09/05/2025;10:20;112.329.996-01;915.239
09/05/2025;10:00;241.428.830-20;791.359
09/05/2025;16:00;532.459.706-68;236.346
09/05/2025;16:10;253.096.942-69;915.239
09/05/2025;08:20;998.814.833-01;762.971
09/05/2025;09:40;306.610.049-96;488.674
09/05/2025;14:50;776.460.435-67;87.784
09/05/2025;07:50;831.302.042-37;450.065
09/05/2025;07:00;822.136.318-91;210.147
09/05/2025;13:15;796.559.613-03;915.239
09/05/2025;10:45;447.410.997-09;876.103
10/05/2025;09:15;501.853.051-05;791.359
10/05/2025;11:30;306.579.586-89;762.971
10/05/2025;14:30;171.269.323-91;876.103
10/05/2025;13:40;358.667.290-08;236.346
10/05/2025;14:50;407.186.092-80;450.065
10/05/2025;13:15;600.828.500-03;488.674
10/05/2025;08:50;899.097.279-51;87.784
10/05/2025;13:30;706.649.129-74;791.359
10/05/2025;15:40;101.038.382-52;190.866
10/05/2025;13:00;753.398.935-02;190.866
10/05/2025;08:50;112.329.996-01;915.239
10/05/2025;11:15;241.428.830-20;791.359
10/05/2025;07:30;354.830.477-02;488.674
10/05/2025;08:50;532.459.706-68;236.346
