Nome;CPF;Médico;Código;Data;Hórario;Data;Hórario;Data;Hórario
Nicole Alice Gonçalves;501.853.051-05;Aghata Maya Elisa Pires;791.359;06/05/2025;09:00;08/05/2025;15:20;10/05/2025;09:15
Carla Isabela Gomes;306.579.586-89;Arthur Ian Figueiredo;762.971;06/05/2025;09:00;07/05/2025;08:00;10/05/2025;11:30
Noah Levi Cavalcanti;253.096.942-69;Calebe Roberto Bernardes;915.239;07/05/2025;13:00;08/05/2025;13:00;09/05/2025;16:10
Carolina Isabelle do Nascimento;171.269.323-91;Gabrielly Daiane Monteiro;876.103;06/05/2025;08:20;07/05/2025;10:20;10/05/2025;14:30
Benjamin Filipe Novaes;358.667.290-08;Julia Brenda Emilly da Cunha;236.346;06/05/2025;15:20;08/05/2025;08:25;10/05/2025;13:40
Kevin Maúricio;998.814.833-01;Arthur Ian Figueiredo;762.971;06/05/2025;16:00;07/05/2025;16:00;09/05/2025;08:20
Geraldo Paulo Vicente Caldeira;407.186.092-80;Isaac Murilo Pereira;450.065;07/05/2025;13:00;08/05/2025;09:00;10/05/2025;14:50
Juan Gael Dias;600.828.500-03;Lorenzo Diogo José Mendes;488.674;07/05/2025;13:50;08/05/2025;13:15;10/05/2025;13:15
Hadassa Evelyn Nascimento;899.097.279-51;Raul Marcelo Campos;87.784;06/05/2025;15:30;08/05/2025;13:15;10/05/2025;08:50
Leonardo Cauã Vieira;706.649.129-74;Aghata Maya Elisa Pires;791.359;06/05/2025;11:00;07/05/2025;07:45;10/05/2025;13:30
José Isaac Campos;101.038.382-52;Bruna Kamilly do Santos;190.866;07/05/2025;14:35;08/05/2025;14:30;10/05/2025;15:40
Carla Sabina Jesus;306.610.049-96;Lorenzo Diogo José Mendes;488.674;06/05/2025;10:35;08/05/2025;16:00;09/05/2025;09:40
Gabriel Benedito Cardoso;776.460.435-67;Raul Marcelo Campos;87.784;06/05/2025;10:50;07/05/2025;10:40;09/05/2025;14:50
Antonio Elias Batista;831.302.042-37;Isaac Murilo Pereira;450.065;06/05/2025;15:00;07/05/2025;11:10;09/05/2025;07:50
Felipe Eduardo Bernardo Santos;753.398.935-02;Bruna Kamilly do Santos;190.866;08/05/2025;11:30;09/05/2025;09:00;10/05/2025;13:00
Maria Bárbara Lívia da Rosa;112.329.996-01;Calebe Roberto Bernardes;915.239;07/05/2025;14:30;09/05/2025;10:20;10/05/2025;08:50
Caroline Helena Marina Moraes;822.136.318-91;Raimundo Kevin Martins;210.147;06/05/2025;10:15;08/05/2025;14:00;09/05/2025;07:00
Lavínia Jéssica Mendes;796.559.613-03;Calebe Roberto Bernardes;915.239;06/05/2025;07:30;07/05/2025;16:50;09/05/2025;13:15
Isabella Alícia Fernanda Pereira;241.428.830-20;Aghata Maya Elisa Pires;791.359;07/05/2025;15:00;09/05/2025;10:00;10/05/2025;11:15
Tiago Enrico Nogueira;273.164.745-05;Isaac Murilo Pereira;450.065;06/05/2025;09:30;07/05/2025;14:35;08/05/2025;09:25
Juliana Sophie de Paula;354.830.477-02;Lorenzo Diogo José Mendes;488.674;06/05/2025;07:40;07/05/2025;09:40;10/05/2025;07:30
Isabelle Carolina Rebeca Almeida;532.459.706-68;Julia Brenda Emilly da Cunha;236.346;07/05/2025;11:15;09/05/2025;16:00;10/05/2025;08:50
Ana Jéssica Martins;447.410.997-09;Gabrielly Daiane Monteiro;876.103;06/05/2025;13:45;08/05/2025;07:00;09/05/2025;10:45
Laura Lúcia Lopes;560.950.885-18;Julia Brenda Emilly da Cunha;236.346;06/04/2024;09:35;07/07/2024;10:00;10/08/2024;09:45
Márcia Sarah Barbosa;714.228.852-32;Bruna Kamilly do Santos;190.866;08/05/2024;09:00;09/06/2024;11:10;10/10/2024;08:15
Bento Guilherme Moura;466.499.516-41;Gabrielly Daiane Monteiro;876.103;07/04/2024;16:30;08/06/2024;14:20;10/10/2024;08:25
Enrico Sérgio da Cruz;220.047.328-14;Raimundo Kevin Martins;210.147;06/06/2024;11:15;08/08/2024;07:15;10/11/2024;10:40
Heloise Marlene ;010.071.480-39;Raul Marcelo Campos;87.784;06/06/2024;09:35;07/07/2024;07:50;09/08/2024;13:00
Silvana Valentina da Mata;458.586.522-55;Arthur Ian Figueiredo;762.971;07/07/2024;14:15;09/08/2024;10:00;10/11/2024;15:15
Renata Maria da Silva;379.168.594-27;Raimundo Kevin Martins;210.147;06/05/2024;14:30;07/08/2024;09:50;10/09/2024;16:00
